date,country,cases,deaths,population,gdp,density_per_sqr_km
2020-06-02,Austria,21,0,8877067.0,50137.6627762476,107.131858943286
2020-06-03,Austria,11,1,8877067.0,50137.6627762476,107.131858943286
2020-06-04,Austria,31,1,8877067.0,50137.6627762476,107.131858943286
2020-06-05,Austria,36,0,8877067.0,50137.6627762476,107.131858943286
2020-06-06,Austria,62,2,8877067.0,50137.6627762476,107.131858943286
2020-06-07,Austria,19,0,8877067.0,50137.6627762476,107.131858943286
2020-06-08,Austria,46,0,8877067.0,50137.6627762476,107.131858943286
2020-06-09,Austria,21,0,8877067.0,50137.6627762476,107.131858943286
2020-06-10,Austria,13,0,8877067.0,50137.6627762476,107.131858943286
2020-06-11,Austria,34,1,8877067.0,50137.6627762476,107.131858943286
2020-06-12,Austria,28,1,8877067.0,50137.6627762476,107.131858943286
2020-06-13,Austria,30,1,8877067.0,50137.6627762476,107.131858943286
2020-06-14,Austria,20,2,8877067.0,50137.6627762476,107.131858943286
2020-06-15,Austria,24,0,8877067.0,50137.6627762476,107.131858943286
2020-06-16,Austria,27,1,8877067.0,50137.6627762476,107.131858943286
2020-06-17,Austria,33,3,8877067.0,50137.6627762476,107.131858943286
2020-06-18,Austria,17,6,8877067.0,50137.6627762476,107.131858943286
2020-06-19,Austria,40,1,8877067.0,50137.6627762476,107.131858943286
2020-06-20,Austria,30,0,8877067.0,50137.6627762476,107.131858943286
2020-06-21,Austria,62,0,8877067.0,50137.6627762476,107.131858943286
2020-06-22,Austria,38,2,8877067.0,50137.6627762476,107.131858943286
2020-06-23,Austria,35,0,8877067.0,50137.6627762476,107.131858943286
2020-06-24,Austria,31,3,8877067.0,50137.6627762476,107.131858943286
2020-06-25,Austria,33,0,8877067.0,50137.6627762476,107.131858943286
2020-06-26,Austria,47,5,8877067.0,50137.6627762476,107.131858943286
2020-06-27,Austria,67,0,8877067.0,50137.6627762476,107.131858943286
2020-06-28,Austria,64,2,8877067.0,50137.6627762476,107.131858943286
2020-06-29,Austria,63,2,8877067.0,50137.6627762476,107.131858943286
2020-06-30,Austria,41,1,8877067.0,50137.6627762476,107.131858943286
2020-07-01,Austria,111,2,8877067.0,50137.6627762476,107.131858943286
2020-07-02,Austria,37,0,8877067.0,50137.6627762476,107.131858943286
2020-07-03,Austria,138,0,8877067.0,50137.6627762476,107.131858943286
2020-07-04,Austria,121,0,8877067.0,50137.6627762476,107.131858943286
2020-07-05,Austria,123,0,8877067.0,50137.6627762476,107.131858943286
2020-07-06,Austria,73,1,8877067.0,50137.6627762476,107.131858943286
2020-07-07,Austria,57,0,8877067.0,50137.6627762476,107.131858943286
2020-07-08,Austria,89,0,8877067.0,50137.6627762476,107.131858943286
2020-07-09,Austria,101,0,8877067.0,50137.6627762476,107.131858943286
2020-07-10,Austria,97,0,8877067.0,50137.6627762476,107.131858943286
2020-07-11,Austria,74,0,8877067.0,50137.6627762476,107.131858943286
2020-07-12,Austria,108,0,8877067.0,50137.6627762476,107.131858943286
2020-07-13,Austria,52,2,8877067.0,50137.6627762476,107.131858943286
2020-07-14,Austria,12,0,8877067.0,50137.6627762476,107.131858943286
2020-07-15,Austria,201,1,8877067.0,50137.6627762476,107.131858943286
2020-07-16,Austria,55,1,8877067.0,50137.6627762476,107.131858943286
2020-07-17,Austria,153,0,8877067.0,50137.6627762476,107.131858943286
2020-07-18,Austria,138,0,8877067.0,50137.6627762476,107.131858943286
2020-07-19,Austria,102,0,8877067.0,50137.6627762476,107.131858943286
2020-07-20,Austria,63,0,8877067.0,50137.6627762476,107.131858943286
2020-07-21,Austria,108,0,8877067.0,50137.6627762476,107.131858943286
2020-07-22,Austria,139,0,8877067.0,50137.6627762476,107.131858943286
2020-07-23,Austria,140,1,8877067.0,50137.6627762476,107.131858943286
2020-07-24,Austria,164,0,8877067.0,50137.6627762476,107.131858943286
2020-07-25,Austria,107,0,8877067.0,50137.6627762476,107.131858943286
2020-07-26,Austria,120,1,8877067.0,50137.6627762476,107.131858943286
2020-07-27,Austria,137,0,8877067.0,50137.6627762476,107.131858943286
2020-07-28,Austria,64,1,8877067.0,50137.6627762476,107.131858943286
2020-07-29,Austria,132,0,8877067.0,50137.6627762476,107.131858943286
2020-07-30,Austria,164,3,8877067.0,50137.6627762476,107.131858943286
2020-07-31,Austria,163,2,8877067.0,50137.6627762476,107.131858943286
2020-08-01,Austria,89,0,8877067.0,50137.6627762476,107.131858943286
2020-08-02,Austria,126,0,8877067.0,50137.6627762476,107.131858943286
2020-08-03,Austria,85,0,8877067.0,50137.6627762476,107.131858943286
2020-08-04,Austria,32,0,8877067.0,50137.6627762476,107.131858943286
2020-08-05,Austria,131,1,8877067.0,50137.6627762476,107.131858943286
2020-08-06,Austria,103,0,8877067.0,50137.6627762476,107.131858943286
2020-08-07,Austria,114,0,8877067.0,50137.6627762476,107.131858943286
2020-08-08,Austria,130,1,8877067.0,50137.6627762476,107.131858943286
2020-08-09,Austria,116,1,8877067.0,50137.6627762476,107.131858943286
2020-08-10,Austria,76,0,8877067.0,50137.6627762476,107.131858943286
2020-08-11,Austria,111,2,8877067.0,50137.6627762476,107.131858943286
2020-08-12,Austria,138,0,8877067.0,50137.6627762476,107.131858943286
2020-08-13,Austria,241,1,8877067.0,50137.6627762476,107.131858943286
2020-08-14,Austria,229,1,8877067.0,50137.6627762476,107.131858943286
2020-08-15,Austria,221,0,8877067.0,50137.6627762476,107.131858943286
2020-08-16,Austria,260,3,8877067.0,50137.6627762476,107.131858943286
2020-08-17,Austria,162,0,8877067.0,50137.6627762476,107.131858943286
2020-08-18,Austria,344,1,8877067.0,50137.6627762476,107.131858943286
2020-08-19,Austria,158,0,8877067.0,50137.6627762476,107.131858943286
2020-08-20,Austria,425,0,8877067.0,50137.6627762476,107.131858943286
2020-08-21,Austria,308,0,8877067.0,50137.6627762476,107.131858943286
2020-08-22,Austria,275,1,8877067.0,50137.6627762476,107.131858943286
2020-08-23,Austria,216,2,8877067.0,50137.6627762476,107.131858943286
2020-08-24,Austria,140,0,8877067.0,50137.6627762476,107.131858943286
2020-08-25,Austria,308,1,8877067.0,50137.6627762476,107.131858943286
2020-08-26,Austria,291,0,8877067.0,50137.6627762476,107.131858943286
2020-08-27,Austria,316,0,8877067.0,50137.6627762476,107.131858943286
2020-08-28,Austria,227,0,8877067.0,50137.6627762476,107.131858943286
2020-08-29,Austria,382,0,8877067.0,50137.6627762476,107.131858943286
2020-08-30,Austria,174,0,8877067.0,50137.6627762476,107.131858943286
2020-08-31,Austria,281,0,8877067.0,50137.6627762476,107.131858943286
2020-09-01,Austria,186,0,8877067.0,50137.6627762476,107.131858943286
2020-09-02,Austria,337,1,8877067.0,50137.6627762476,107.131858943286
2020-09-03,Austria,442,0,8877067.0,50137.6627762476,107.131858943286
2020-09-04,Austria,312,1,8877067.0,50137.6627762476,107.131858943286
2020-09-05,Austria,271,0,8877067.0,50137.6627762476,107.131858943286
2020-09-06,Austria,208,0,8877067.0,50137.6627762476,107.131858943286
2020-09-07,Austria,220,1,8877067.0,50137.6627762476,107.131858943286
2020-09-08,Austria,511,10,8877067.0,50137.6627762476,107.131858943286
2020-09-09,Austria,495,1,8877067.0,50137.6627762476,107.131858943286
2020-09-10,Austria,754,0,8877067.0,50137.6627762476,107.131858943286
2020-09-11,Austria,497,1,8877067.0,50137.6627762476,107.131858943286
2020-09-12,Austria,1005,2,8877067.0,50137.6627762476,107.131858943286
2020-09-13,Austria,495,4,8877067.0,50137.6627762476,107.131858943286
2020-09-14,Austria,384,2,8877067.0,50137.6627762476,107.131858943286
2020-09-15,Austria,549,1,8877067.0,50137.6627762476,107.131858943286
2020-09-16,Austria,860,0,8877067.0,50137.6627762476,107.131858943286
2020-09-17,Austria,704,1,8877067.0,50137.6627762476,107.131858943286
2020-09-18,Austria,922,0,8877067.0,50137.6627762476,107.131858943286
2020-09-19,Austria,821,5,8877067.0,50137.6627762476,107.131858943286
2020-09-20,Austria,757,2,8877067.0,50137.6627762476,107.131858943286
2020-09-21,Austria,609,1,8877067.0,50137.6627762476,107.131858943286
2020-09-22,Austria,593,1,8877067.0,50137.6627762476,107.131858943286
2020-09-23,Austria,747,4,8877067.0,50137.6627762476,107.131858943286
2020-09-24,Austria,661,6,8877067.0,50137.6627762476,107.131858943286
2020-09-25,Austria,688,6,8877067.0,50137.6627762476,107.131858943286
2020-09-26,Austria,1071,3,8877067.0,50137.6627762476,107.131858943286
2020-09-27,Austria,623,1,8877067.0,50137.6627762476,107.131858943286
2020-09-28,Austria,526,0,8877067.0,50137.6627762476,107.131858943286
2020-09-29,Austria,419,3,8877067.0,50137.6627762476,107.131858943286
2020-09-30,Austria,722,6,8877067.0,50137.6627762476,107.131858943286
2020-10-01,Austria,1146,3,8877067.0,50137.6627762476,107.131858943286
2020-10-02,Austria,564,3,8877067.0,50137.6627762476,107.131858943286
2020-10-03,Austria,872,1,8877067.0,50137.6627762476,107.131858943286
2020-10-04,Austria,830,6,8877067.0,50137.6627762476,107.131858943286
2020-10-05,Austria,599,4,8877067.0,50137.6627762476,107.131858943286
2020-10-06,Austria,1268,5,8877067.0,50137.6627762476,107.131858943286
2020-10-07,Austria,549,22,8877067.0,50137.6627762476,107.131858943286
2020-10-08,Austria,947,4,8877067.0,50137.6627762476,107.131858943286
2020-10-09,Austria,1221,9,8877067.0,50137.6627762476,107.131858943286
2020-10-10,Austria,1181,4,8877067.0,50137.6627762476,107.131858943286
2020-10-11,Austria,901,1,8877067.0,50137.6627762476,107.131858943286
2020-10-12,Austria,1298,6,8877067.0,50137.6627762476,107.131858943286
2020-10-13,Austria,608,5,8877067.0,50137.6627762476,107.131858943286
2020-10-14,Austria,1171,10,8877067.0,50137.6627762476,107.131858943286
2020-10-15,Austria,1606,9,8877067.0,50137.6627762476,107.131858943286
2020-10-16,Austria,1396,6,8877067.0,50137.6627762476,107.131858943286
2020-10-17,Austria,1691,7,8877067.0,50137.6627762476,107.131858943286
2020-10-18,Austria,2040,6,8877067.0,50137.6627762476,107.131858943286
2020-10-19,Austria,1062,3,8877067.0,50137.6627762476,107.131858943286
2020-10-20,Austria,1054,9,8877067.0,50137.6627762476,107.131858943286
2020-10-21,Austria,1803,8,8877067.0,50137.6627762476,107.131858943286
2020-10-22,Austria,2355,13,8877067.0,50137.6627762476,107.131858943286
2020-10-23,Austria,2570,17,8877067.0,50137.6627762476,107.131858943286
2020-10-24,Austria,3442,15,8877067.0,50137.6627762476,107.131858943286
2020-10-25,Austria,2989,6,8877067.0,50137.6627762476,107.131858943286
2020-10-26,Austria,2766,6,8877067.0,50137.6627762476,107.131858943286
2020-10-27,Austria,2512,4,8877067.0,50137.6627762476,107.131858943286
2020-10-28,Austria,2698,18,8877067.0,50137.6627762476,107.131858943286
2020-10-29,Austria,4149,34,8877067.0,50137.6627762476,107.131858943286
2020-10-30,Austria,4305,24,8877067.0,50137.6627762476,107.131858943286
2020-10-31,Austria,5243,15,8877067.0,50137.6627762476,107.131858943286
2020-11-01,Austria,5141,18,8877067.0,50137.6627762476,107.131858943286
2020-11-02,Austria,4526,17,8877067.0,50137.6627762476,107.131858943286
2020-11-03,Austria,3160,21,8877067.0,50137.6627762476,107.131858943286
2020-11-04,Austria,4445,34,8877067.0,50137.6627762476,107.131858943286
2020-11-05,Austria,6514,35,8877067.0,50137.6627762476,107.131858943286
2020-11-06,Austria,7051,47,8877067.0,50137.6627762476,107.131858943286
2020-11-07,Austria,6324,44,8877067.0,50137.6627762476,107.131858943286
2020-11-08,Austria,7898,23,8877067.0,50137.6627762476,107.131858943286
2020-11-09,Austria,6006,17,8877067.0,50137.6627762476,107.131858943286
2020-11-10,Austria,5704,48,8877067.0,50137.6627762476,107.131858943286
2020-11-11,Austria,3839,35,8877067.0,50137.6627762476,107.131858943286
2020-11-12,Austria,9643,55,8877067.0,50137.6627762476,107.131858943286
2020-11-13,Austria,10368,37,8877067.0,50137.6627762476,107.131858943286
2020-11-14,Austria,8962,64,8877067.0,50137.6627762476,107.131858943286
2020-11-15,Austria,7192,55,8877067.0,50137.6627762476,107.131858943286
2020-11-16,Austria,5278,50,8877067.0,50137.6627762476,107.131858943286
2020-11-17,Austria,4304,62,8877067.0,50137.6627762476,107.131858943286
2020-11-18,Austria,5664,74,8877067.0,50137.6627762476,107.131858943286
2020-11-19,Austria,7766,113,8877067.0,50137.6627762476,107.131858943286
2020-11-20,Austria,6830,90,8877067.0,50137.6627762476,107.131858943286
2020-11-21,Austria,6612,79,8877067.0,50137.6627762476,107.131858943286
2020-11-22,Austria,6239,58,8877067.0,50137.6627762476,107.131858943286
